,Date,FIPS,MMWR_week,Recip_County,Recip_State,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Booster_Doses,Booster_Doses_Vax_Pct,Booster_Doses_18Plus,Booster_Doses_18Plus_Vax_Pct,Booster_Doses_50Plus,Booster_Doses_50Plus_Vax_Pct,Booster_Doses_65Plus,Booster_Doses_65Plus_Vax_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_5PlusPop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI,Metro_status,Series_Complete_Pop_Pct_UR_Equity,Series_Complete_5PlusPop_Pct_UR_Equity,Series_Complete_12PlusPop_Pct_UR_Equity,Series_Complete_18PlusPop_Pct_UR_Equity,Series_Complete_65PlusPop_Pct_UR_Equity,Census2019,Census2019_5PlusPop,Census2019_12PlusPop,Census2019_18PlusPop,Census2019_65PlusPop
0,01/31/2022,19127,5,Marshall County,IA,97.4,27559.0,70.0,27559,74.9,26500.0,80.6,24403.0,82.9,7321.0,95.0,25165,63.9,25165,68.4,24376,74.1,22499,76.5,6985,95.0,12055.0,47.9,11866.0,52.7,8758.0,67.6,5238.0,75.0,C,12.0,12.0,12.0,12.0,12.0,Non-metro,8.0,8.0,8.0,8.0,8.0,39369.0,36812.0,32886.0,29419.0,7279.0
1,01/31/2022,13189,5,McDuffie County,GA,89.7,10742.0,50.4,10741,53.9,10606.0,59.6,10069.0,62.9,3283.0,85.2,9307,43.7,9307,46.7,9243,51.9,8840,55.2,3035,78.8,2869.0,30.8,2853.0,32.3,2274.0,40.8,1438.0,47.4,D,15.0,15.0,16.0,16.0,16.0,Metro,3.0,3.0,4.0,4.0,4.0,21312.0,19938.0,17799.0,16012.0,3853.0
2,01/31/2022,36039,5,Greene County,NY,97.6,32312.0,68.5,32309,71.4,31604.0,74.7,29898.0,75.6,9890.0,92.2,28842,61.1,28841,63.8,28291,66.9,26752,67.7,8665,80.8,14423.0,50.0,14118.0,52.8,10328.0,62.0,5949.0,68.7,B,8.0,8.0,8.0,8.0,8.0,Non-metro,8.0,8.0,8.0,8.0,8.0,47188.0,45233.0,42288.0,39542.0,10725.0
3,01/31/2022,20139,5,Osage County,KS,93.5,8908.0,55.9,8908,59.1,8708.0,63.7,8201.0,66.9,2909.0,88.7,7923,49.7,7923,52.5,7777,56.9,7347,59.9,2686,81.9,3625.0,45.8,3580.0,48.7,2831.0,58.8,1802.0,67.1,A,3.0,4.0,4.0,4.0,4.0,Metro,3.0,4.0,4.0,4.0,4.0,15949.0,15083.0,13665.0,12260.0,3279.0
4,01/31/2022,01035,5,Conecuh County,AL,92.4,6733.0,55.8,6733,58.9,6665.0,63.8,6352.0,66.2,2341.0,82.7,5118,42.4,5118,44.8,5083,48.6,4887,50.9,1852,65.4,1448.0,28.3,1441.0,29.5,1253.0,37.4,800.0,43.2,D,15.0,15.0,15.0,16.0,15.0,Non-metro,7.0,7.0,7.0,8.0,7.0,12067.0,11427.0,10454.0,9593.0,2832.0
5,01/31/2022,22035,5,East Carroll Parish,LA,96.8,3517.0,51.3,3517,54.7,3420.0,59.3,3197.0,61.2,936.0,89.4,3034,44.2,3034,47.2,2999,52.0,2844,54.5,886,84.6,1118.0,36.8,1108.0,39.0,893.0,50.1,527.0,59.5,D,15.0,15.0,16.0,16.0,16.0,Non-metro,7.0,7.0,8.0,8.0,8.0,6861.0,6434.0,5763.0,5223.0,1047.0
6,01/31/2022,29207,5,Stoddard County,MO,91.2,12971.0,44.7,12971,47.4,12856.0,51.5,12363.0,54.5,4551.0,77.2,11236,38.7,11236,41.0,11170,44.8,10756,47.4,4068,69.0,3730.0,33.2,3709.0,34.5,3058.0,44.0,2131.0,52.4,B,6.0,7.0,7.0,7.0,7.0,Non-metro,6.0,7.0,7.0,7.0,7.0,29025.0,27391.0,24947.0,22705.0,5897.0
7,01/31/2022,37075,5,Graham County,NC,97.0,5226.0,61.9,5226,65.0,5161.0,69.6,5012.0,74.1,2063.0,95.0,4072,48.2,4072,50.6,4036,54.4,3918,57.9,1589,76.9,1042.0,25.6,1038.0,26.5,829.0,30.4,542.0,34.1,C,11.0,12.0,12.0,12.0,12.0,Non-metro,7.0,8.0,8.0,8.0,8.0,8441.0,8040.0,7414.0,6767.0,2067.0
8,01/31/2022,48277,5,Lamar County,TX,99.0,22295.0,44.7,22284,47.8,21873.0,52.1,20776.0,54.6,7432.0,76.4,19354,38.8,19349,41.5,19111,45.5,18226,47.9,6786,69.8,7203.0,37.2,7126.0,39.1,5944.0,48.7,3899.0,57.5,D,14.0,15.0,15.0,15.0,15.0,Non-metro,6.0,7.0,7.0,7.0,7.0,49859.0,46604.0,41963.0,38086.0,9726.0
9,01/31/2022,26073,5,Isabella County,MI,95.7,31967.0,45.8,31965,48.0,31832.0,51.4,30154.0,52.2,8081.0,87.4,30471,43.6,30470,45.8,30116,48.6,28425,49.2,7649,82.8,15539.0,51.0,15193.0,53.4,9860.0,66.4,5702.0,74.5,C,11.0,11.0,11.0,11.0,12.0,Non-metro,7.0,7.0,7.0,7.0,8.0,69872.0,66591.0,61912.0,57748.0,9241.0
